default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex
1,< 0 INR,12,existing credits paid back duly till now,(vacation - does not exist?),34200,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,< 0 INR,48,existing credits paid back duly till now,(vacation - does not exist?),373800,... < 5000 INR,4 <= ... < 7 years,4,male : single
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,radio/television,96100,... < 5000 INR,1 <= ... < 4 years,4,male : single
1,< 0 INR,24,existing credits paid back duly till now,car (new),115150,... < 5000 INR,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,36,delay in paying off in the past,car (new),404300,5000 <= ... < 25000 INR,.. >= 7 years,2,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),car (used),117300,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,< 0 INR,14,existing credits paid back duly till now,car (new),198650,... < 5000 INR,unemployed,1,male : single
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,car (new),44400,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,48,existing credits paid back duly till now,domestic appliances,511100,unknown/ no savings account,4 <= ... < 7 years,4,male : single
0,0 <= ... < 10000 INR,30,no credits taken/ all credits paid back duly,business,211050,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,0 <= ... < 10000 INR,18,critical account/ other credits existing (not at this bank),radio/television,318050,... < 5000 INR,.. >= 7 years,2,male : single
0,>= 10000 INR / salary assignments for at least 1 year,12,existing credits paid back duly till now,domestic appliances,64850,... < 5000 INR,1 <= ... < 4 years,3,male : married/widowed
1,< 0 INR,12,existing credits paid back duly till now,car (new),45000,unknown/ no savings account,1 <= ... < 4 years,4,male : married/widowed
0,no checking account,21,existing credits paid back duly till now,radio/television,112050,... < 5000 INR,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,6,delay in paying off in the past,radio/television,52500,... < 5000 INR,unemployed,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),(vacation - does not exist?),52350,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,315700,... < 5000 INR,unemployed,4,male : single
0,0 <= ... < 10000 INR,30,all credits at this bank paid back duly,radio/television,174800,.. >= 50000 INR ,1 <= ... < 4 years,4,male : single
0,no checking account,48,all credits at this bank paid back duly,business,180450,... < 5000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
1,< 0 INR,12,critical account/ other credits existing (not at this bank),car (new),242150,... < 5000 INR,.. >= 7 years,3,male : single
0,>= 10000 INR / salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),domestic appliances,150850,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),business,206950,5000 <= ... < 25000 INR,1 <= ... < 4 years,3,male : single
0,no checking account,36,existing credits paid back duly till now,business,287100,5000 <= ... < 25000 INR,4 <= ... < 7 years,2,male : single
0,no checking account,60,existing credits paid back duly till now,car (new),518300,... < 5000 INR,.. >= 7 years,2,male : single
0,no checking account,6,critical account/ other credits existing (not at this bank),car (new),104000,25000 <= ... < 50000 INR ,1 <= ... < 4 years,1,male : married/widowed
1,no checking account,21,delay in paying off in the past,business,129000,25000 <= ... < 50000 INR ,... < 1 year ,4,male : single
0,no checking account,30,critical account/ other credits existing (not at this bank),domestic appliances,226500,... < 5000 INR,4 <= ... < 7 years,4,female : divorced/separated/married
0,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,257500,... < 5000 INR,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,72,existing credits paid back duly till now,domestic appliances,279750,5000 <= ... < 25000 INR,1 <= ... < 4 years,2,male : married/widowed
0,< 0 INR,24,existing credits paid back duly till now,domestic appliances,119200,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,18,existing credits paid back duly till now,domestic appliances,72650,... < 5000 INR,... < 1 year ,3,female : divorced/separated/married
0,no checking account,6,existing credits paid back duly till now,(vacation - does not exist?),76900,... < 5000 INR,... < 1 year ,1,female : divorced/separated/married
0,no checking account,12,existing credits paid back duly till now,domestic appliances,113950,unknown/ no savings account,1 <= ... < 4 years,4,male : single
0,no checking account,15,delay in paying off in the past,domestic appliances,73900,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,255150,... < 5000 INR,... < 1 year ,3,male : married/widowed
0,0 <= ... < 10000 INR,36,delay in paying off in the past,business,492850,5000 <= ... < 25000 INR,4 <= ... < 7 years,1,male : single
0,no checking account,60,existing credits paid back duly till now,car (new),326350,unknown/ no savings account,1 <= ... < 4 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),domestic appliances,67350,unknown/ no savings account,4 <= ... < 7 years,4,male : single
0,0 <= ... < 10000 INR,36,delay in paying off in the past,car (new),143100,5000 <= ... < 25000 INR,.. >= 7 years,4,male : single
0,no checking account,9,existing credits paid back duly till now,domestic appliances,137650,5000 <= ... < 25000 INR,.. >= 7 years,3,male : single
0,< 0 INR,12,existing credits paid back duly till now,car (new),182550,.. >= 50000 INR ,1 <= ... < 4 years,1,male : single
0,< 0 INR,15,critical account/ other credits existing (not at this bank),radio/television,48750,... < 5000 INR,1 <= ... < 4 years,2,male : divorced/separated
0,0 <= ... < 10000 INR,15,existing credits paid back duly till now,education,131550,5000 <= ... < 25000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
0,0 <= ... < 10000 INR,24,existing credits paid back duly till now,domestic appliances,144800,5000 <= ... < 25000 INR,... < 1 year ,2,male : single
0,< 0 INR,6,critical account/ other credits existing (not at this bank),car (new),235800,unknown/ no savings account,... < 1 year ,1,male : single
0,no checking account,24,existing credits paid back duly till now,domestic appliances,114200,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,no checking account,6,existing credits paid back duly till now,car (used),61800,25000 <= ... < 50000 INR ,1 <= ... < 4 years,2,male : single
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,domestic appliances,55150,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),car (new),46300,... < 5000 INR,unemployed,1,female : divorced/separated/married
0,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,90000,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,15,existing credits paid back duly till now,(vacation - does not exist?),95250,... < 5000 INR,.. >= 7 years,4,male : single
1,no checking account,12,existing credits paid back duly till now,radio/television,56150,25000 <= ... < 50000 INR ,1 <= ... < 4 years,4,female : divorced/separated/married
1,< 0 INR,48,critical account/ other credits existing (not at this bank),car (used),316550,... < 5000 INR,.. >= 7 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,24,existing credits paid back duly till now,domestic appliances,68850,5000 <= ... < 25000 INR,.. >= 7 years,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,30,delay in paying off in the past,business,125150,5000 <= ... < 25000 INR,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,27,existing credits paid back duly till now,business,126400,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,no checking account,15,existing credits paid back duly till now,car (new),266200,25000 <= ... < 50000 INR ,.. >= 7 years,1,female : divorced/separated/married
1,0 <= ... < 10000 INR,48,existing credits paid back duly till now,car (new),328000,5000 <= ... < 25000 INR,4 <= ... < 7 years,3,male : single
1,0 <= ... < 10000 INR,12,no credits taken/ all credits paid back duly,radio/television,148450,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,9,existing credits paid back duly till now,domestic appliances,60300,... < 5000 INR,.. >= 7 years,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,9,existing credits paid back duly till now,domestic appliances,105900,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,31450,25000 <= ... < 50000 INR ,.. >= 7 years,4,male : single
1,< 0 INR,6,all credits at this bank paid back duly,(vacation - does not exist?),59900,... < 5000 INR,.. >= 7 years,4,female : divorced/separated/married
0,no checking account,21,existing credits paid back duly till now,car (used),123800,unknown/ no savings account,.. >= 7 years,4,male : single
0,< 0 INR,9,critical account/ other credits existing (not at this bank),domestic appliances,56900,... < 5000 INR,1 <= ... < 4 years,4,male : single
1,0 <= ... < 10000 INR,60,existing credits paid back duly till now,car (new),701350,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,no checking account,30,critical account/ other credits existing (not at this bank),car (used),379800,unknown/ no savings account,.. >= 7 years,1,male : single
0,no checking account,30,critical account/ other credits existing (not at this bank),domestic appliances,153850,unknown/ no savings account,.. >= 7 years,3,male : single
0,no checking account,18,existing credits paid back duly till now,domestic appliances,75250,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),domestic appliances,157400,unknown/ no savings account,1 <= ... < 4 years,3,male : single
0,0 <= ... < 10000 INR,20,no credits taken/ all credits paid back duly,car (used),307400,5000 <= ... < 25000 INR,.. >= 7 years,3,male : married/widowed
1,>= 10000 INR / salary assignments for at least 1 year,9,no credits taken/ all credits paid back duly,domestic appliances,66850,... < 5000 INR,... < 1 year ,4,male : single
1,0 <= ... < 10000 INR,6,all credits at this bank paid back duly,(vacation - does not exist?),21650,.. >= 50000 INR ,... < 1 year ,4,female : divorced/separated/married
1,< 0 INR,12,existing credits paid back duly till now,car (new),61400,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,9,existing credits paid back duly till now,domestic appliances,39500,25000 <= ... < 50000 INR ,1 <= ... < 4 years,4,female : divorced/separated/married
1,no checking account,27,existing credits paid back duly till now,car (new),128500,... < 5000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
0,no checking account,6,critical account/ other credits existing (not at this bank),car (new),12500,.. >= 50000 INR ,1 <= ... < 4 years,2,female : divorced/separated/married
0,no checking account,15,critical account/ other credits existing (not at this bank),domestic appliances,65800,25000 <= ... < 50000 INR ,1 <= ... < 4 years,2,male : married/widowed
1,< 0 INR,18,existing credits paid back duly till now,domestic appliances,94100,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,48,all credits at this bank paid back duly,business,320800,... < 5000 INR,.. >= 7 years,4,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),business,63750,.. >= 50000 INR ,1 <= ... < 4 years,2,male : divorced/separated
0,0 <= ... < 10000 INR,24,delay in paying off in the past,domestic appliances,320150,... < 5000 INR,... < 1 year ,1,male : single
1,< 0 INR,24,existing credits paid back duly till now,domestic appliances,99350,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,0 <= ... < 10000 INR,8,existing credits paid back duly till now,domestic appliances,38000,... < 5000 INR,4 <= ... < 7 years,4,female : divorced/separated/married
0,no checking account,24,existing credits paid back duly till now,car (used),130150,.. >= 50000 INR ,1 <= ... < 4 years,2,female : divorced/separated/married
0,no checking account,4,critical account/ other credits existing (not at this bank),car (new),169000,... < 5000 INR,4 <= ... < 7 years,1,female : divorced/separated/married
0,0 <= ... < 10000 INR,36,all credits at this bank paid back duly,repairs,199500,unknown/ no savings account,... < 1 year ,3,female : divorced/separated/married
1,0 <= ... < 10000 INR,24,existing credits paid back duly till now,car (used),578000,... < 5000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
0,< 0 INR,18,existing credits paid back duly till now,car (new),219000,5000 <= ... < 25000 INR,1 <= ... < 4 years,3,male : single
0,no checking account,6,critical account/ other credits existing (not at this bank),car (new),338050,... < 5000 INR,4 <= ... < 7 years,1,male : single
1,0 <= ... < 10000 INR,30,no credits taken/ all credits paid back duly,business,214000,5000 <= ... < 25000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,< 0 INR,24,all credits at this bank paid back duly,car (new),116250,5000 <= ... < 25000 INR,4 <= ... < 7 years,2,male : single
0,0 <= ... < 10000 INR,10,all credits at this bank paid back duly,domestic appliances,52400,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,21,existing credits paid back duly till now,domestic appliances,158000,unknown/ no savings account,.. >= 7 years,4,male : single
0,< 0 INR,24,all credits at this bank paid back duly,radio/television,124150,25000 <= ... < 50000 INR ,1 <= ... < 4 years,4,male : single
0,< 0 INR,39,critical account/ other credits existing (not at this bank),radio/television,708950,unknown/ no savings account,4 <= ... < 7 years,4,male : single
0,< 0 INR,13,critical account/ other credits existing (not at this bank),business,89850,... < 5000 INR,... < 1 year ,3,male : single
0,< 0 INR,15,existing credits paid back duly till now,car (new),125550,... < 5000 INR,unemployed,1,female : divorced/separated/married
1,< 0 INR,12,existing credits paid back duly till now,car (new),63700,... < 5000 INR,... < 1 year ,3,female : divorced/separated/married
0,no checking account,21,existing credits paid back duly till now,car (used),262400,unknown/ no savings account,1 <= ... < 4 years,1,male : single
0,no checking account,15,existing credits paid back duly till now,car (used),151450,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,< 0 INR,6,existing credits paid back duly till now,radio/television,21400,... < 5000 INR,.. >= 7 years,2,female : divorced/separated/married
1,< 0 INR,18,existing credits paid back duly till now,car (new),48800,... < 5000 INR,... < 1 year ,1,female : divorced/separated/married
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,business,42050,5000 <= ... < 25000 INR,4 <= ... < 7 years,2,female : divorced/separated/married
0,no checking account,30,critical account/ other credits existing (not at this bank),domestic appliances,288550,... < 5000 INR,4 <= ... < 7 years,4,female : divorced/separated/married
1,no checking account,12,delay in paying off in the past,education,77750,.. >= 50000 INR ,.. >= 7 years,4,male : single
1,< 0 INR,24,existing credits paid back duly till now,car (new),64250,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),64950,... < 5000 INR,1 <= ... < 4 years,1,male : single
1,>= 10000 INR / salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),domestic appliances,63550,unknown/ no savings account,1 <= ... < 4 years,3,male : single
0,no checking account,24,existing credits paid back duly till now,car (new),69650,... < 5000 INR,1 <= ... < 4 years,2,male : single
1,< 0 INR,12,critical account/ other credits existing (not at this bank),car (new),34550,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,15,critical account/ other credits existing (not at this bank),car (new),252250,unknown/ no savings account,.. >= 7 years,1,female : divorced/separated/married
1,< 0 INR,18,critical account/ other credits existing (not at this bank),radio/television,106200,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,< 0 INR,12,existing credits paid back duly till now,domestic appliances,110700,... < 5000 INR,1 <= ... < 4 years,4,male : single
1,no checking account,21,critical account/ other credits existing (not at this bank),car (new),634000,unknown/ no savings account,.. >= 7 years,4,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),car (new),123150,5000 <= ... < 25000 INR,4 <= ... < 7 years,4,male : married/widowed
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,domestic appliances,57750,... < 5000 INR,.. >= 7 years,3,male : married/widowed
1,< 0 INR,30,existing credits paid back duly till now,radio/television,155400,... < 5000 INR,... < 1 year ,2,male : divorced/separated
0,no checking account,10,existing credits paid back duly till now,car (used),145050,unknown/ no savings account,... < 1 year ,1,female : divorced/separated/married
0,0 <= ... < 10000 INR,12,critical account/ other credits existing (not at this bank),radio/television,180850,... < 5000 INR,.. >= 7 years,1,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,82750,... < 5000 INR,.. >= 7 years,2,male : single
0,< 0 INR,24,existing credits paid back duly till now,car (used),140600,unknown/ no savings account,.. >= 7 years,2,female : divorced/separated/married
1,< 0 INR,36,critical account/ other credits existing (not at this bank),(vacation - does not exist?),403250,... < 5000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
0,no checking account,21,critical account/ other credits existing (not at this bank),car (used),163750,... < 5000 INR,.. >= 7 years,1,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,111150,5000 <= ... < 25000 INR,.. >= 7 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (new),74000,25000 <= ... < 50000 INR ,unemployed,2,male : single
1,< 0 INR,24,existing credits paid back duly till now,car (new),68550,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,36,critical account/ other credits existing (not at this bank),car (new),176750,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,< 0 INR,18,existing credits paid back duly till now,domestic appliances,175450,... < 5000 INR,4 <= ... < 7 years,4,female : divorced/separated/married
0,no checking account,36,critical account/ other credits existing (not at this bank),car (used),285550,.. >= 50000 INR ,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,education,193600,... < 5000 INR,unemployed,2,female : divorced/separated/married
1,0 <= ... < 10000 INR,39,critical account/ other credits existing (not at this bank),domestic appliances,246650,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),car (new),97000,.. >= 50000 INR ,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,12,no credits taken/ all credits paid back duly,retraining,70500,... < 5000 INR,1 <= ... < 4 years,2,male : single
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,car (new),41800,5000 <= ... < 25000 INR,... < 1 year ,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,20,existing credits paid back duly till now,car (used),323400,unknown/ no savings account,unemployed,1,male : divorced/separated
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,business,97050,.. >= 50000 INR ,1 <= ... < 4 years,4,male : single
0,no checking account,22,existing credits paid back duly till now,domestic appliances,133750,25000 <= ... < 50000 INR ,.. >= 7 years,3,male : single
0,no checking account,48,critical account/ other credits existing (not at this bank),car (used),137550,unknown/ no savings account,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,48,delay in paying off in the past,(vacation - does not exist?),311200,... < 5000 INR,.. >= 7 years,4,male : single
1,< 0 INR,40,critical account/ other credits existing (not at this bank),(vacation - does not exist?),299900,... < 5000 INR,1 <= ... < 4 years,4,male : single
1,0 <= ... < 10000 INR,21,existing credits paid back duly till now,business,59400,... < 5000 INR,.. >= 7 years,2,female : divorced/separated/married
0,no checking account,24,existing credits paid back duly till now,car (used),315650,unknown/ no savings account,.. >= 7 years,3,male : single
0,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,61050,unknown/ no savings account,1 <= ... < 4 years,1,male : married/widowed
0,>= 10000 INR / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,144600,... < 5000 INR,.. >= 7 years,3,male : divorced/separated
0,no checking account,24,existing credits paid back duly till now,radio/television,153100,25000 <= ... < 50000 INR ,.. >= 7 years,4,male : single
0,no checking account,9,existing credits paid back duly till now,radio/television,115050,5000 <= ... < 25000 INR,... < 1 year ,2,female : divorced/separated/married
1,< 0 INR,18,existing credits paid back duly till now,car (used),375550,unknown/ no savings account,.. >= 7 years,1,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,62900,... < 5000 INR,... < 1 year ,2,female : divorced/separated/married
0,no checking account,24,delay in paying off in the past,car (new),35850,unknown/ no savings account,.. >= 7 years,4,male : married/widowed
0,0 <= ... < 10000 INR,9,existing credits paid back duly till now,car (new),77450,unknown/ no savings account,... < 1 year ,4,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),(vacation - does not exist?),79850,... < 5000 INR,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,18,critical account/ other credits existing (not at this bank),domestic appliances,89750,... < 5000 INR,.. >= 7 years,3,female : divorced/separated/married
0,< 0 INR,20,critical account/ other credits existing (not at this bank),radio/television,213600,... < 5000 INR,.. >= 7 years,1,female : divorced/separated/married
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,48800,unknown/ no savings account,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,car (new),373600,unknown/ no savings account,unemployed,1,female : divorced/separated/married
1,< 0 INR,36,existing credits paid back duly till now,car (new),463550,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,0 <= ... < 10000 INR,6,existing credits paid back duly till now,domestic appliances,29500,... < 5000 INR,... < 1 year ,3,male : married/widowed
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,46500,unknown/ no savings account,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,42,all credits at this bank paid back duly,car (used),464150,... < 5000 INR,unemployed,1,male : single
1,0 <= ... < 10000 INR,15,no credits taken/ all credits paid back duly,car (new),88900,... < 5000 INR,... < 1 year ,2,female : divorced/separated/married
0,0 <= ... < 10000 INR,8,existing credits paid back duly till now,business,45350,... < 5000 INR,... < 1 year ,3,male : married/widowed
0,0 <= ... < 10000 INR,6,existing credits paid back duly till now,domestic appliances,24200,... < 5000 INR,4 <= ... < 7 years,3,male : married/widowed
1,< 0 INR,36,critical account/ other credits existing (not at this bank),car (used),481450,... < 5000 INR,4 <= ... < 7 years,4,male : single
1,< 0 INR,48,existing credits paid back duly till now,repairs,152550,... < 5000 INR,1 <= ... < 4 years,3,male : single
1,< 0 INR,48,existing credits paid back duly till now,car (new),196550,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,0 <= ... < 10000 INR,36,delay in paying off in the past,car (new),371600,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,no checking account,6,existing credits paid back duly till now,repairs,66900,25000 <= ... < 50000 INR ,1 <= ... < 4 years,1,male : divorced/separated
0,no checking account,6,critical account/ other credits existing (not at this bank),domestic appliances,77700,... < 5000 INR,4 <= ... < 7 years,1,female : divorced/separated/married
0,< 0 INR,36,existing credits paid back duly till now,furniture/equipment,792850,... < 5000 INR,unemployed,2,male : divorced/separated
1,< 0 INR,18,existing credits paid back duly till now,domestic appliances,67250,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
0,no checking account,12,existing credits paid back duly till now,car (new),55050,... < 5000 INR,1 <= ... < 4 years,3,male : married/widowed
0,>= 10000 INR / salary assignments for at least 1 year,12,existing credits paid back duly till now,domestic appliances,150800,... < 5000 INR,1 <= ... < 4 years,3,male : married/widowed
1,< 0 INR,36,existing credits paid back duly till now,radio/television,135600,... < 5000 INR,.. >= 7 years,2,male : single
0,< 0 INR,8,critical account/ other credits existing (not at this bank),car (new),36550,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,189000,... < 5000 INR,... < 1 year ,3,male : divorced/separated
0,< 0 INR,21,critical account/ other credits existing (not at this bank),car (new),80100,... < 5000 INR,.. >= 7 years,4,male : married/widowed
1,< 0 INR,18,critical account/ other credits existing (not at this bank),car (new),198300,... < 5000 INR,.. >= 7 years,1,female : divorced/separated/married
1,no checking account,18,no credits taken/ all credits paid back duly,business,208250,... < 5000 INR,1 <= ... < 4 years,2,male : single
1,< 0 INR,36,existing credits paid back duly till now,car (used),416750,unknown/ no savings account,.. >= 7 years,3,male : single
0,0 <= ... < 10000 INR,48,delay in paying off in the past,business,334050,unknown/ no savings account,1 <= ... < 4 years,4,male : single
0,no checking account,24,delay in paying off in the past,business,118750,25000 <= ... < 50000 INR ,1 <= ... < 4 years,4,male : single
1,< 0 INR,18,existing credits paid back duly till now,car (new),60800,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
1,< 0 INR,45,no credits taken/ all credits paid back duly,business,590800,... < 5000 INR,.. >= 7 years,2,male : single
0,0 <= ... < 10000 INR,24,existing credits paid back duly till now,domestic appliances,254200,unknown/ no savings account,.. >= 7 years,2,female : divorced/separated/married
1,>= 10000 INR / salary assignments for at least 1 year,15,existing credits paid back duly till now,domestic appliances,116350,... < 5000 INR,... < 1 year ,2,female : divorced/separated/married
1,< 0 INR,12,no credits taken/ all credits paid back duly,car (new),54100,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,12,existing credits paid back duly till now,domestic appliances,44300,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,4,existing credits paid back duly till now,radio/television,30050,... < 5000 INR,... < 1 year ,1,female : divorced/separated/married
0,< 0 INR,24,critical account/ other credits existing (not at this bank),car (used),147850,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,130550,... < 5000 INR,.. >= 7 years,4,male : married/widowed
1,< 0 INR,36,existing credits paid back duly till now,radio/television,258950,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,no checking account,21,delay in paying off in the past,car (used),149650,... < 5000 INR,1 <= ... < 4 years,3,male : single
1,no checking account,18,existing credits paid back duly till now,education,97150,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,no checking account,24,all credits at this bank paid back duly,business,77950,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,no checking account,18,existing credits paid back duly till now,radio/television,171100,... < 5000 INR,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,21,existing credits paid back duly till now,radio/television,198800,unknown/ no savings account,4 <= ... < 7 years,2,male : single
1,no checking account,18,existing credits paid back duly till now,car (new),338050,unknown/ no savings account,1 <= ... < 4 years,2,male : single
0,no checking account,24,existing credits paid back duly till now,car (new),62450,... < 5000 INR,... < 1 year ,4,male : married/widowed
0,< 0 INR,9,existing credits paid back duly till now,domestic appliances,68200,... < 5000 INR,4 <= ... < 7 years,3,male : single
1,< 0 INR,12,existing credits paid back duly till now,domestic appliances,35450,... < 5000 INR,.. >= 7 years,4,male : single
1,< 0 INR,20,critical account/ other credits existing (not at this bank),car (new),111750,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
0,no checking account,24,critical account/ other credits existing (not at this bank),car (used),202100,unknown/ no savings account,4 <= ... < 7 years,3,male : single
0,no checking account,15,critical account/ other credits existing (not at this bank),domestic appliances,73550,... < 5000 INR,1 <= ... < 4 years,4,male : single
1,< 0 INR,18,all credits at this bank paid back duly,car (new),72100,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,no checking account,36,delay in paying off in the past,car (new),543750,... < 5000 INR,.. >= 7 years,2,male : single
0,no checking account,24,existing credits paid back duly till now,car (new),73700,5000 <= ... < 25000 INR,... < 1 year ,4,male : married/widowed
0,no checking account,10,existing credits paid back duly till now,retraining,44700,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married
0,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,167150,... < 5000 INR,1 <= ... < 4 years,4,male : single
1,< 0 INR,15,existing credits paid back duly till now,car (new),197950,... < 5000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
0,no checking account,9,existing credits paid back duly till now,car (new),178850,5000 <= ... < 25000 INR,1 <= ... < 4 years,1,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),car (used),290200,.. >= 50000 INR ,1 <= ... < 4 years,4,male : single
1,no checking account,18,delay in paying off in the past,business,108450,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
1,< 0 INR,24,existing credits paid back duly till now,domestic appliances,121950,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,no checking account,27,critical account/ other credits existing (not at this bank),radio/television,226300,.. >= 50000 INR ,... < 1 year ,4,male : single
1,no checking account,10,existing credits paid back duly till now,radio/television,110500,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,no checking account,15,existing credits paid back duly till now,radio/television,111050,25000 <= ... < 50000 INR ,1 <= ... < 4 years,2,female : divorced/separated/married
